time,open_price,close_price,high_price,low_price,coin_volume
2023-06-10 23:00:00,15.52,15.024,15.57,14.92,3739044
2023-06-10 23:30:00,15.024,15.003,15.303,14.984,2236189
2023-06-11 00:00:00,15.003,15.135,15.2,14.942,1475088
2023-06-11 00:30:00,15.135,15.314,15.32,15.105,1067350
2023-06-11 01:00:00,15.314,15.314,15.434,15.177,1265080
2023-06-11 01:30:00,15.314,15.373,15.472,15.22,1421729
2023-06-11 02:00:00,15.373,15.416,15.481,15.304,1234266
2023-06-11 02:30:00,15.416,15.517,15.576,15.408,719205
2023-06-11 03:00:00,15.517,15.728,15.771,15.464,1184713
2023-06-11 03:30:00,15.728,15.717,15.87,15.71,1385542
2023-06-11 04:00:00,15.717,15.71,15.848,15.566,1447249
2023-06-11 04:30:00,15.71,15.605,15.8,15.588,670971
2023-06-11 05:00:00,15.605,15.597,15.69,15.469,1268146
2023-06-11 05:30:00,15.597,15.418,15.621,15.351,999124
2023-06-11 06:00:00,15.418,15.475,15.533,15.403,664978
2023-06-11 06:30:00,15.475,15.581,15.702,15.458,946539
2023-06-11 07:00:00,15.581,15.549,15.615,15.445,609837
2023-06-11 07:30:00,15.549,15.667,15.69,15.542,679718
2023-06-11 08:00:00,15.667,15.74,15.777,15.606,691745
2023-06-11 08:30:00,15.74,15.547,15.75,15.501,697236
2023-06-11 09:00:00,15.547,15.334,15.629,15.249,1370727
2023-06-11 09:30:00,15.334,15.426,15.482,15.31,953362
2023-06-11 10:00:00,15.426,15.623,15.718,15.417,864750
2023-06-11 10:30:00,15.623,15.65,15.722,15.537,869727
2023-06-11 11:00:00,15.65,15.644,15.715,15.591,790951
2023-06-11 11:30:00,15.644,15.55,15.667,15.537,699408
2023-06-11 12:00:00,15.55,15.434,15.587,15.389,756741
2023-06-11 12:30:00,15.434,15.381,15.48,15.358,751054
2023-06-11 13:00:00,15.381,15.458,15.562,15.353,905021
2023-06-11 13:30:00,15.458,15.361,15.458,15.297,1041533
2023-06-11 14:00:00,15.361,15.44,15.466,15.28,830087
2023-06-11 14:30:00,15.44,15.307,15.45,15.29,651415
2023-06-11 15:00:00,15.307,15.398,15.426,15.3,594095
2023-06-11 15:30:00,15.398,15.58,15.704,15.375,1676995
2023-06-11 16:00:00,15.58,15.567,15.63,15.486,802041
2023-06-11 16:30:00,15.567,15.518,15.63,15.495,533538
2023-06-11 17:00:00,15.518,15.624,15.675,15.462,854104
2023-06-11 17:30:00,15.624,15.444,15.646,15.433,749322
2023-06-11 18:00:00,15.444,15.36,15.482,15.295,875714
2023-06-11 18:30:00,15.36,15.275,15.416,15.235,1111671
