time,open_price,close_price,high_price,low_price,coin_volume
2023-06-10 23:00:00,15.52,15.314,15.57,14.92,8517671
2023-06-11 01:00:00,15.314,15.517,15.576,15.177,4640280
2023-06-11 03:00:00,15.517,15.605,15.87,15.464,4688475
2023-06-11 05:00:00,15.605,15.581,15.702,15.351,3878787
2023-06-11 07:00:00,15.581,15.547,15.777,15.445,2678536
2023-06-11 09:00:00,15.547,15.65,15.722,15.249,4058566
2023-06-11 11:00:00,15.65,15.381,15.715,15.358,2998154
2023-06-11 13:00:00,15.381,15.307,15.562,15.28,3428056
2023-06-11 15:00:00,15.307,15.518,15.704,15.3,3606669
2023-06-11 17:00:00,15.518,15.275,15.675,15.235,3590811
2023-06-11 19:00:00,15.275,15.211,15.495,15.101,3862775
2023-06-11 21:00:00,15.211,15.464,15.6,15.125,5171329
2023-06-11 23:00:00,15.464,15.977,16.18,15.439,6597943
2023-06-12 01:00:00,15.977,15.742,16.15,15.606,4213333
2023-06-12 03:00:00,15.742,15.534,15.79,15.348,3521792
2023-06-12 05:00:00,15.534,15.377,15.594,15.282,3590778
2023-06-12 07:00:00,15.377,15.086,15.464,14.9,5788896
2023-06-12 09:00:00,15.086,15.023,15.3,14.976,3021886
2023-06-12 11:00:00,15.023,15.074,15.3,15.02,2657198
2023-06-12 13:00:00,15.074,15.484,15.703,15.007,5811522
2023-06-12 15:00:00,15.484,15.401,15.589,15.313,2823676
2023-06-12 17:00:00,15.401,15.227,15.412,15.125,3021778
2023-06-12 19:00:00,15.227,15.199,15.47,15.151,3252901
2023-06-12 21:00:00,15.199,14.967,15.321,14.708,6883873
2023-06-12 23:00:00,14.967,14.95,15.042,14.754,3973938
2023-06-13 01:00:00,14.95,15.252,15.395,14.892,3151263
2023-06-13 03:00:00,15.252,15.183,15.393,15.126,2717825
2023-06-13 05:00:00,15.183,15.206,15.319,14.994,3117397
2023-06-13 07:00:00,15.206,15.331,15.523,15.112,3103668
2023-06-13 09:00:00,15.331,15.365,15.425,15.115,2526246
2023-06-13 11:00:00,15.365,15.412,15.508,15.327,1909875
2023-06-13 13:00:00,15.412,15.449,15.691,15.339,3999223
2023-06-13 15:00:00,15.449,15.628,15.687,15.38,3621272
2023-06-13 17:00:00,15.628,15.2,16.0,15.19,9769333
2023-06-13 19:00:00,15.2,14.79,15.269,14.751,6451208
2023-06-13 21:00:00,14.79,14.873,15.0,14.763,3363744
2023-06-13 23:00:00,14.873,14.956,15.165,14.83,3451495
2023-06-14 01:00:00,14.956,14.998,15.078,14.85,2413282
2023-06-14 03:00:00,14.998,15.025,15.036,14.863,1459384
2023-06-14 05:00:00,15.025,15.195,15.212,14.9,2282067
2023-06-14 07:00:00,15.195,15.227,15.29,15.123,2035252
2023-06-14 09:00:00,15.227,15.028,15.257,14.99,1948023
2023-06-14 11:00:00,15.028,15.043,15.143,14.997,1863428
2023-06-14 13:00:00,15.043,15.182,15.196,15.025,1686722
2023-06-14 15:00:00,15.182,15.195,15.24,15.122,1477547
2023-06-14 17:00:00,15.195,15.104,15.287,14.98,2717438
2023-06-14 19:00:00,15.104,15.092,15.168,15.016,1889341
2023-06-14 21:00:00,15.092,15.341,15.372,15.051,2825867
2023-06-14 23:00:00,15.341,15.077,15.358,14.88,7130203
2023-06-15 01:00:00,15.077,14.489,15.124,13.97,10913494
2023-06-15 03:00:00,14.489,14.476,14.561,14.321,2222096
2023-06-15 05:00:00,14.476,14.489,14.599,14.397,1852545
2023-06-15 07:00:00,14.489,14.915,15.089,14.481,3812924
