time,open_price,close_price,high_price,low_price,coin_volume
2023-06-10 23:00:00,1759.48,1735.0,1761.57,1723.0,226627.0570000011
2023-06-10 23:30:00,1735.0,1732.39,1748.33,1732.12,140130.43600000243
2023-06-11 00:00:00,1732.39,1738.4,1741.25,1731.32,69381.6150000006
2023-06-11 00:30:00,1738.4,1743.32,1744.75,1738.04,36653.06
2023-06-11 01:00:00,1743.32,1739.45,1743.78,1737.41,39663.81900000002
2023-06-11 01:30:00,1739.45,1741.88,1746.73,1737.56,69887.05600000088
2023-06-11 02:00:00,1741.88,1741.47,1742.82,1738.01,23583.06499999997
2023-06-11 02:30:00,1741.47,1743.53,1745.27,1740.93,15732.013999999974
2023-06-11 03:00:00,1743.53,1749.85,1752.14,1742.51,42779.215000000215
2023-06-11 03:30:00,1749.85,1753.03,1756.99,1749.85,40815.99500000008
2023-06-11 04:00:00,1753.03,1750.19,1754.25,1749.91,27522.64499999996
2023-06-11 04:30:00,1750.19,1750.64,1753.14,1749.97,20678.05999999995
2023-06-11 05:00:00,1750.64,1751.06,1751.78,1746.71,45092.56600000017
2023-06-11 05:30:00,1751.06,1744.76,1751.79,1744.06,41842.57800000021
2023-06-11 06:00:00,1744.76,1744.83,1746.85,1742.61,31252.481000000087
2023-06-11 06:30:00,1744.83,1748.62,1751.2,1744.83,35219.802000000105
2023-06-11 07:00:00,1748.62,1746.61,1749.38,1744.63,19891.781999999985
2023-06-11 07:30:00,1746.61,1749.07,1749.41,1746.06,17421.08399999997
2023-06-11 08:00:00,1749.07,1749.29,1749.72,1747.1,15833.565999999984
2023-06-11 08:30:00,1749.29,1751.02,1751.87,1748.17,27518.125999999967
2023-06-11 09:00:00,1751.02,1745.17,1751.49,1743.0,38769.08900000015
2023-06-11 09:30:00,1745.17,1753.2,1756.72,1744.7,45725.7510000002
2023-06-11 10:00:00,1753.2,1754.46,1756.31,1753.09,37510.0090000001
2023-06-11 10:30:00,1754.46,1755.71,1759.0,1752.52,33598.13399999998
2023-06-11 11:00:00,1755.71,1757.32,1758.6,1755.0,25313.592999999997
2023-06-11 11:30:00,1757.32,1755.6,1757.67,1754.94,19652.743
2023-06-11 12:00:00,1755.6,1754.39,1755.89,1753.84,18222.71199999998
2023-06-11 12:30:00,1754.39,1752.22,1755.22,1752.0,21473.782999999985
2023-06-11 13:00:00,1752.22,1751.35,1754.93,1751.07,22791.80199999998
2023-06-11 13:30:00,1751.35,1748.13,1751.36,1747.0,35368.55100000013
2023-06-11 14:00:00,1748.13,1749.3,1750.18,1746.49,18951.93399999997
2023-06-11 14:30:00,1749.3,1744.72,1749.84,1744.0,27805.54500000007
2023-06-11 15:00:00,1744.72,1747.12,1747.73,1744.27,20494.115999999973
2023-06-11 15:30:00,1747.12,1750.31,1754.17,1746.68,35414.78700000013
2023-06-11 16:00:00,1750.31,1752.41,1753.28,1749.07,24578.79099999999
2023-06-11 16:30:00,1752.41,1751.49,1754.47,1750.94,18983.06299999997
2023-06-11 17:00:00,1751.49,1749.29,1751.77,1748.81,22159.11999999999
2023-06-11 17:30:00,1749.29,1745.97,1749.4,1745.65,22184.023
2023-06-11 18:00:00,1745.97,1746.43,1748.81,1744.65,25550.557999999983
2023-06-11 18:30:00,1746.43,1740.27,1748.04,1737.29,81673.3420000004
2023-06-11 19:00:00,1740.27,1742.79,1750.53,1739.37,61678.97700000053
2023-06-11 19:30:00,1742.79,1742.59,1744.87,1740.6,33252.597000000016
